batter,innings,total_runs,total_balls,total_fours,total_sixes,highest_score,fifties,hundreds,career_sr,avg
A Ashish Reddy,23,280,193,16,15,36,0,0,145.08,12.17
A Badoni,35,634,472,46,24,59,4,0,134.32,18.11
A Chandila,2,4,7,0,0,4,0,0,57.14,2.0
A Chopra,6,53,71,7,0,24,0,0,74.65,8.83
A Choudhary,3,25,20,1,1,15,0,0,125.0,8.33
A Dananjaya,1,4,5,0,0,4,0,0,80.0,4.0
A Flintoff,3,62,53,5,2,24,0,0,116.98,20.67
A Kamboj,1,2,2,0,0,2,0,0,100.0,2.0
A Kumble,15,35,47,3,0,8,0,0,74.47,2.33
A Manohar,15,231,174,21,10,43,0,0,132.76,15.4
A Mishra,55,381,417,31,5,31,0,0,91.37,6.93
A Mithun,6,34,26,4,1,11,0,0,130.77,5.67
A Mukund,2,19,22,1,0,19,0,0,86.36,9.5
A Nehra,17,41,60,3,1,22,0,0,68.33,2.41
A Nortje,13,49,49,6,0,23,0,0,100.0,3.77
A Raghuvanshi,7,163,105,16,8,54,1,0,155.24,23.29
A Singh,5,2,9,0,0,1,0,0,22.22,0.4
A Symonds,36,974,745,74,41,117,6,1,130.74,27.06
A Tomar,1,4,8,1,0,4,0,0,50.0,4.0
A Uniyal,2,4,7,0,0,4,0,0,57.14,2.0
A Zampa,5,15,24,1,0,7,0,0,62.5,3.0
AA Bilakhia,7,69,84,5,0,22,0,0,82.14,9.86
AA Chavan,3,12,11,2,0,7,0,0,109.09,4.0
AA Jhunjhunwala,15,217,209,19,5,53,1,0,103.83,14.47
AA Kulkarni,2,9,8,2,0,9,0,0,112.5,4.5
AA Noffke,1,9,10,1,0,9,0,0,90.0,9.0
AB Agarkar,18,179,151,13,5,39,0,0,118.54,9.94
AB Barath,3,42,42,5,1,33,0,0,100.0,14.0
AB Dinda,16,26,48,2,0,7,0,0,54.17,1.62
AB McDonald,9,123,100,9,4,33,0,0,123.0,13.67
AB de Villiers,170,5181,3400,414,253,133,44,3,152.38,30.48
AC Blizzard,7,120,90,21,2,51,1,0,133.33,17.14
AC Gilchrist,80,2069,1483,239,92,109,13,2,139.51,25.86
AC Thomas,4,20,19,1,1,12,0,0,105.26,5.0
AC Voges,7,181,143,15,3,45,0,0,126.57,25.86
AD Hales,6,148,117,13,6,45,0,0,126.5,24.67
AD Mascarenhas,11,79,78,5,1,27,0,0,101.28,7.18
AD Mathews,41,724,573,44,29,65,1,0,126.35,17.66
AD Nath,10,90,98,7,2,24,0,0,91.84,9.0
AD Russell,104,2488,1407,171,209,88,11,0,176.83,23.92
AF Milne,6,23,29,0,1,15,0,0,79.31,3.83
AG Murtaza,3,10,14,1,0,5,0,0,71.43,3.33
AG Paunikar,5,49,55,9,0,20,0,0,89.09,9.8
AJ Finch,90,2092,1626,214,78,88,15,0,128.66,23.24
AJ Hosein,1,16,10,1,1,16,0,0,160.0,16.0
AJ Turner,6,24,28,0,2,16,0,0,85.71,4.0
AJ Tye,13,91,75,6,5,25,0,0,121.33,7.0
AK Markram,42,995,764,73,35,68,5,0,130.24,23.69
AL Menaria,23,401,354,24,18,40,0,0,113.28,17.43
AM Nayar,50,672,573,55,20,45,0,0,117.28,13.44
AM Rahane,171,4642,3757,479,103,105,32,2,123.56,27.15
AN Ahmed,6,36,26,4,1,18,0,0,138.46,6.0
AN Ghosh,2,7,8,1,0,7,0,0,87.5,3.5
AP Dole,2,34,22,3,1,30,0,0,154.55,17.0
AP Majumdar,4,87,76,7,2,31,0,0,114.47,21.75
AP Tare,27,339,272,40,11,59,1,0,124.63,12.56
AR Bawne,1,12,12,1,0,12,0,0,100.0,12.0
AR Patel,112,1653,1259,107,79,66,3,0,131.29,14.76
AS Joseph,5,27,32,3,0,15,0,0,84.38,5.4
AS Rajpoot,7,26,41,2,1,8,0,0,63.41,3.71
AS Raut,16,194,167,13,7,36,0,0,116.17,12.12
AS Roy,6,26,24,3,0,13,0,0,108.33,4.33
AS Yadav,6,49,39,5,2,16,0,0,125.64,8.17
AT Carey,3,32,29,0,1,14,0,0,110.34,10.67
AT Rayudu,185,4348,3391,359,173,100,23,1,128.22,23.5
AU Rashid,2,22,15,2,1,18,0,0,146.67,11.0
AUK Pathan,7,39,23,5,2,14,0,0,169.57,5.57
Abdul Basith,1,1,1,0,0,1,0,0,100.0,1.0
Abdul Samad,39,579,394,37,36,37,0,0,146.95,14.85
Abdur Razzak,1,0,2,0,0,0,0,0,0.0,0.0
Abhishek Sharma,61,1377,883,128,73,75,7,0,155.95,22.57
Abishek Porel,16,360,235,37,15,65,2,0,153.19,22.5
Akash Deep,3,19,12,2,1,17,0,0,158.33,6.33
Akash Madhwal,1,4,5,0,0,4,0,0,80.0,4.0
Aman Hakim Khan,10,115,104,8,6,51,1,0,110.58,11.5
Anirudh Singh,4,63,66,6,1,40,0,0,95.45,15.75
Ankit Sharma,10,87,67,7,4,30,0,0,129.85,8.7
Ankit Soni,3,7,9,0,1,7,0,0,77.78,2.33
Anmolpreet Singh,9,139,115,19,3,36,0,0,120.87,15.44
Anuj Rawat,21,318,267,26,14,66,1,0,119.1,15.14
Anureet Singh,8,36,47,2,1,15,0,0,76.6,4.5
Arjun Tendulkar,1,13,9,0,1,13,0,0,144.44,13.0
Arshad Khan,6,96,65,5,6,58,1,0,147.69,16.0
Arshad Khan (2),1,5,4,1,0,5,0,0,125.0,5.0
Arshdeep Singh,11,29,40,4,0,10,0,0,72.5,2.64
Ashutosh Sharma,9,189,110,10,15,61,1,0,171.82,21.0
Atharva Taide,9,247,168,27,8,66,2,0,147.02,27.44
Avesh Khan,9,41,25,3,3,12,0,0,164.0,4.56
Azhar Mahmood,21,388,303,39,13,80,2,0,128.05,18.48
Azmatullah Omarzai,4,42,33,2,2,17,0,0,127.27,10.5
B Akhil,11,76,55,5,5,27,0,0,138.18,6.91
B Chipli,21,280,250,28,7,61,1,0,112.0,13.33
B Indrajith,3,21,30,2,0,15,0,0,70.0,7.0
B Kumar,65,306,325,30,3,27,0,0,94.15,4.71
B Laughlin,4,5,13,0,0,4,0,0,38.46,1.25
B Lee,19,124,96,8,8,25,0,0,129.17,6.53
B Sai Sudharsan,25,1034,735,95,32,103,7,1,140.68,41.36
B Stanlake,1,5,2,1,0,5,0,0,250.0,5.0
