match_id,season_year,batting_team,batter,runs,balls,fours,sixes,strike_rate
335982,2008,Kolkata Knight Riders,BB McCullum,158,73,10,13,216.44
335982,2008,Kolkata Knight Riders,DJ Hussey,12,12,1,0,100.0
335982,2008,Kolkata Knight Riders,Mohammad Hafeez,5,3,1,0,166.67
335982,2008,Kolkata Knight Riders,RT Ponting,20,20,1,1,100.0
335982,2008,Kolkata Knight Riders,SC Ganguly,10,12,2,0,83.33
335982,2008,Royal Challengers Bengaluru,AA Noffke,9,10,1,0,90.0
335982,2008,Royal Challengers Bengaluru,B Akhil,0,2,0,0,0.0
335982,2008,Royal Challengers Bengaluru,CL White,6,10,0,0,60.0
335982,2008,Royal Challengers Bengaluru,JH Kallis,8,7,0,1,114.29
335982,2008,Royal Challengers Bengaluru,MV Boucher,7,9,1,0,77.78
335982,2008,Royal Challengers Bengaluru,P Kumar,18,15,1,2,120.0
335982,2008,Royal Challengers Bengaluru,R Dravid,2,3,0,0,66.67
335982,2008,Royal Challengers Bengaluru,SB Joshi,3,6,0,0,50.0
335982,2008,Royal Challengers Bengaluru,V Kohli,1,5,0,0,20.0
335982,2008,Royal Challengers Bengaluru,W Jaffer,6,16,0,0,37.5
335982,2008,Royal Challengers Bengaluru,Z Khan,3,8,0,0,37.5
335983,2008,Chennai Super Kings,JDP Oram,13,10,0,1,130.0
335983,2008,Chennai Super Kings,MEK Hussey,116,54,8,9,214.81
335983,2008,Chennai Super Kings,ML Hayden,25,16,4,1,156.25
335983,2008,Chennai Super Kings,MS Dhoni,2,3,0,0,66.67
335983,2008,Chennai Super Kings,PA Patel,15,10,3,0,150.0
335983,2008,Chennai Super Kings,S Badrinath,31,14,3,2,221.43
335983,2008,Chennai Super Kings,SK Raina,32,13,2,3,246.15
335983,2008,Punjab Kings,IK Pathan,3,5,0,0,60.0
335983,2008,Punjab Kings,JR Hopes,71,33,10,3,215.15
335983,2008,Punjab Kings,K Goel,24,19,2,1,126.32
335983,2008,Punjab Kings,KC Sangakkara,54,33,5,2,163.64
335983,2008,Punjab Kings,SM Katich,21,17,0,1,123.53
335983,2008,Punjab Kings,Yuvraj Singh,23,13,1,2,176.92
335984,2008,Delhi Capitals,G Gambhir,58,46,7,1,126.09
335984,2008,Delhi Capitals,S Dhawan,52,41,8,0,126.83
335984,2008,Delhi Capitals,V Sehwag,12,4,3,0,300.0
335984,2008,Rajasthan Royals,D Salunkhe,26,20,4,0,130.0
335984,2008,Rajasthan Royals,DS Lehmann,1,2,0,0,50.0
335984,2008,Rajasthan Royals,M Kaif,9,19,0,0,47.37
335984,2008,Rajasthan Royals,M Rawat,2,4,0,0,50.0
335984,2008,Rajasthan Royals,RA Jadeja,29,23,2,2,126.09
335984,2008,Rajasthan Royals,SK Trivedi,3,7,0,0,42.86
335984,2008,Rajasthan Royals,SK Warne,14,13,2,0,107.69
335984,2008,Rajasthan Royals,SR Watson,21,15,4,0,140.0
335984,2008,Rajasthan Royals,T Kohli,7,12,0,1,58.33
335984,2008,Rajasthan Royals,YK Pathan,10,5,2,0,200.0
335985,2008,Mumbai Indians,AM Nayar,20,14,1,1,142.86
335985,2008,Mumbai Indians,DJ Thornely,0,5,0,0,0.0
335985,2008,Mumbai Indians,Harbhajan Singh,2,2,0,0,100.0
335985,2008,Mumbai Indians,L Ronchi,8,10,2,0,80.0
335985,2008,Mumbai Indians,PR Shah,19,23,2,0,82.61
335985,2008,Mumbai Indians,RV Uthappa,48,38,5,1,126.32
335985,2008,Mumbai Indians,SM Pollock,28,12,3,2,233.33
335985,2008,Mumbai Indians,ST Jayasuriya,29,16,5,1,181.25
335985,2008,Royal Challengers Bengaluru,B Akhil,3,5,0,0,60.0
335985,2008,Royal Challengers Bengaluru,JH Kallis,25,24,0,1,104.17
335985,2008,Royal Challengers Bengaluru,LRPL Taylor,23,12,1,2,191.67
335985,2008,Royal Challengers Bengaluru,MV Boucher,39,19,4,2,205.26
335985,2008,Royal Challengers Bengaluru,R Dravid,32,33,4,0,96.97
335985,2008,Royal Challengers Bengaluru,S Chanderpaul,16,11,3,0,145.45
335985,2008,Royal Challengers Bengaluru,V Kohli,23,14,3,1,164.29
335986,2008,Kolkata Knight Riders,BB McCullum,5,5,1,0,100.0
335986,2008,Kolkata Knight Riders,DJ Hussey,38,43,1,3,88.37
335986,2008,Kolkata Knight Riders,LR Shukla,4,6,0,0,66.67
335986,2008,Kolkata Knight Riders,Mohammad Hafeez,13,13,1,1,100.0
335986,2008,Kolkata Knight Riders,RT Ponting,0,1,0,0,0.0
335986,2008,Kolkata Knight Riders,SC Ganguly,14,29,1,0,48.28
335986,2008,Kolkata Knight Riders,WP Saha,10,17,1,0,58.82
335986,2008,Sunrisers Hyderabad,A Symonds,32,39,2,2,82.05
335986,2008,Sunrisers Hyderabad,AC Gilchrist,23,21,1,2,109.52
335986,2008,Sunrisers Hyderabad,AS Yadav,10,10,0,1,100.0
335986,2008,Sunrisers Hyderabad,RG Sharma,0,3,0,0,0.0
335986,2008,Sunrisers Hyderabad,RP Singh,1,2,0,0,50.0
335986,2008,Sunrisers Hyderabad,SB Bangar,14,10,1,1,140.0
335986,2008,Sunrisers Hyderabad,SB Styris,6,7,1,0,85.71
335986,2008,Sunrisers Hyderabad,VVS Laxman,0,6,0,0,0.0
335986,2008,Sunrisers Hyderabad,WPUJC Vaas,0,1,0,0,0.0
335986,2008,Sunrisers Hyderabad,Y Venugopal Rao,14,13,1,0,107.69
335987,2008,Punjab Kings,B Lee,0,2,0,0,0.0
335987,2008,Punjab Kings,DPMD Jayawardene,2,4,0,0,50.0
335987,2008,Punjab Kings,IK Pathan,12,19,0,1,63.16
335987,2008,Punjab Kings,JR Hopes,16,16,2,0,100.0
335987,2008,Punjab Kings,K Goel,26,21,3,2,123.81
335987,2008,Punjab Kings,KC Sangakkara,20,8,3,1,250.0
335987,2008,Punjab Kings,PP Chawla,24,10,4,0,240.0
335987,2008,Punjab Kings,S Sohal,4,4,0,0,100.0
335987,2008,Punjab Kings,WA Mota,1,1,0,0,100.0
335987,2008,Punjab Kings,Yuvraj Singh,57,34,6,3,167.65
335987,2008,Rajasthan Royals,DS Lehmann,17,16,3,0,106.25
335987,2008,Rajasthan Royals,Kamran Akmal,15,9,2,1,166.67
335987,2008,Rajasthan Royals,M Kaif,5,7,1,0,71.43
335987,2008,Rajasthan Royals,RA Jadeja,36,24,5,1,150.0
335987,2008,Rajasthan Royals,SR Watson,76,48,5,5,158.33
335987,2008,Rajasthan Royals,YK Pathan,7,5,1,0,140.0
335988,2008,Delhi Capitals,G Gambhir,12,9,2,0,133.33
335988,2008,Delhi Capitals,S Dhawan,25,28,3,0,89.29
335988,2008,Delhi Capitals,V Sehwag,94,41,10,6,229.27
335988,2008,Sunrisers Hyderabad,A Symonds,12,13,2,0,92.31
335988,2008,Sunrisers Hyderabad,AC Gilchrist,8,9,0,1,88.89
335988,2008,Sunrisers Hyderabad,AS Yadav,12,7,2,0,171.43
335988,2008,Sunrisers Hyderabad,RG Sharma,66,36,6,4,183.33
335988,2008,Sunrisers Hyderabad,RP Singh,1,1,0,0,100.0
335988,2008,Sunrisers Hyderabad,SB Bangar,8,14,0,0,57.14
335988,2008,Sunrisers Hyderabad,Shahid Afridi,2,7,0,0,28.57
335988,2008,Sunrisers Hyderabad,VVS Laxman,2,6,0,0,33.33
335988,2008,Sunrisers Hyderabad,WPUJC Vaas,12,5,0,1,240.0
335988,2008,Sunrisers Hyderabad,Y Venugopal Rao,14,22,2,0,63.64
335989,2008,Chennai Super Kings,JDP Oram,5,2,1,0,250.0
335989,2008,Chennai Super Kings,MEK Hussey,5,9,1,0,55.56
335989,2008,Chennai Super Kings,ML Hayden,81,44,12,2,184.09
335989,2008,Chennai Super Kings,MS Dhoni,30,16,4,1,187.5
335989,2008,Chennai Super Kings,PA Patel,14,11,3,0,127.27
335989,2008,Chennai Super Kings,S Badrinath,2,1,0,0,200.0
335989,2008,Chennai Super Kings,SK Raina,53,37,3,3,143.24
335989,2008,Mumbai Indians,A Nehra,1,2,0,0,50.0
335989,2008,Mumbai Indians,AM Nayar,45,19,6,1,236.84
335989,2008,Mumbai Indians,DJ Bravo,24,16,2,1,150.0
335989,2008,Mumbai Indians,Harbhajan Singh,28,14,1,3,200.0
335989,2008,Mumbai Indians,L Ronchi,2,3,0,0,66.67
335989,2008,Mumbai Indians,MA Khote,9,5,0,1,180.0
335989,2008,Mumbai Indians,RV Uthappa,43,35,6,1,122.86
335989,2008,Mumbai Indians,SM Pollock,17,15,0,1,113.33
335989,2008,Mumbai Indians,ST Jayasuriya,20,11,4,0,181.82
335990,2008,Rajasthan Royals,D Salunkhe,1,1,0,0,100.0
335990,2008,Rajasthan Royals,GC Smith,71,45,9,2,157.78
335990,2008,Rajasthan Royals,Kamran Akmal,12,9,1,1,133.33
335990,2008,Rajasthan Royals,M Kaif,34,16,2,3,212.5
335990,2008,Rajasthan Royals,Pankaj Singh,4,3,0,0,133.33
335990,2008,Rajasthan Royals,RA Jadeja,1,3,0,0,33.33
335990,2008,Rajasthan Royals,SK Warne,22,8,2,2,275.0
335990,2008,Rajasthan Royals,SR Watson,4,6,0,0,66.67
335990,2008,Rajasthan Royals,YK Pathan,61,28,4,6,217.86
335990,2008,Sunrisers Hyderabad,A Symonds,117,52,11,7,225.0
335990,2008,Sunrisers Hyderabad,AC Gilchrist,13,9,3,0,144.44
335990,2008,Sunrisers Hyderabad,AS Yadav,16,9,3,0,177.78
335990,2008,Sunrisers Hyderabad,RG Sharma,36,30,3,1,120.0
335990,2008,Sunrisers Hyderabad,Shahid Afridi,10,4,1,1,250.0
335990,2008,Sunrisers Hyderabad,VVS Laxman,16,16,3,0,100.0
335991,2008,Mumbai Indians,A Nehra,2,9,0,0,22.22
335991,2008,Mumbai Indians,AM Nayar,2,3,0,0,66.67
335991,2008,Mumbai Indians,DJ Bravo,23,21,4,0,109.52
335991,2008,Mumbai Indians,DS Kulkarni,2,16,0,0,12.5
335991,2008,Mumbai Indians,Harbhajan Singh,0,1,0,0,0.0
335991,2008,Mumbai Indians,L Ronchi,11,8,1,1,137.5
335991,2008,Mumbai Indians,MA Khote,8,7,1,0,114.29
335991,2008,Mumbai Indians,RV Uthappa,21,17,2,1,123.53
335991,2008,Mumbai Indians,SM Pollock,22,21,2,1,104.76
