bowler,matches,total_balls,total_runs,total_wickets,best_wickets,overs,economy,avg,sr
A Ashish Reddy,20,262,400,19,3,43.4,9.16,21.05,13.79
A Badoni,5,25,37,2,1,4.1,8.88,18.5,12.5
A Chandila,12,234,245,11,4,39.0,6.28,22.27,21.27
A Choudhary,5,101,144,5,2,16.5,8.55,28.8,20.2
A Dananjaya,1,24,47,0,0,4.0,11.75,,
A Flintoff,3,66,106,2,1,11.0,9.64,53.0,33.0
A Kamboj,3,60,115,2,1,10.0,11.5,57.5,30.0
A Kumble,42,965,1089,49,5,160.5,6.77,22.22,19.69
A Mishra,162,3371,4193,183,5,561.5,7.46,22.91,18.42
A Mithun,16,288,477,8,2,48.0,9.94,59.62,36.0
A Nehra,88,1908,2537,121,5,318.0,7.98,20.97,15.77
A Nel,1,18,31,1,1,3.0,10.33,31.0,18.0
A Nortje,46,1054,1614,62,4,175.4,9.19,26.03,17.0
A Singh,23,473,639,31,4,78.5,8.11,20.61,15.26
A Symonds,30,527,694,23,3,87.5,7.9,30.17,22.91
A Uniyal,2,36,67,3,3,6.0,11.17,22.33,12.0
A Zampa,20,419,562,30,6,69.5,8.05,18.73,13.97
AA Chavan,13,248,339,8,2,41.2,8.2,42.38,31.0
AA Jhunjhunwala,10,85,130,1,1,14.1,9.18,130.0,85.0
AA Kazi,1,12,21,1,1,2.0,10.5,21.0,12.0
AA Noffke,1,24,41,1,1,4.0,10.25,41.0,24.0
AB Agarkar,42,782,1174,33,3,130.2,9.01,35.58,23.7
AB Dinda,75,1516,2103,82,4,252.4,8.32,25.65,18.49
AB McDonald,10,186,263,14,4,31.0,8.48,18.79,13.29
AC Gilchrist,1,1,0,1,1,0.1,0.0,0.0,1.0
AC Thomas,15,315,416,16,3,52.3,7.92,26.0,19.69
AC Voges,7,54,76,1,1,9.0,8.44,76.0,54.0
AD Mascarenhas,13,308,365,19,5,51.2,7.11,19.21,16.21
AD Mathews,44,791,1095,28,4,131.5,8.31,39.11,28.25
AD Russell,112,1697,2691,125,6,282.5,9.51,21.53,13.58
AF Milne,10,207,339,9,3,34.3,9.83,37.67,23.0
AG Murtaza,12,264,322,12,3,44.0,7.32,26.83,22.0
AJ Finch,5,43,67,1,1,7.1,9.35,67.0,43.0
AJ Hosein,1,24,41,1,1,4.0,10.25,41.0,24.0
AJ Tye,30,685,1005,48,5,114.1,8.8,20.94,14.27
AK Markram,14,121,173,2,1,20.1,8.58,86.5,60.5
AL Menaria,12,110,144,3,2,18.2,7.85,48.0,36.67
AM Nayar,19,229,323,9,3,38.1,8.46,35.89,25.44
AM Rahane,1,6,5,1,1,1.0,5.0,5.0,6.0
AM Salvi,7,150,205,7,2,25.0,8.2,29.29,21.43
AN Ahmed,17,344,515,15,3,57.2,8.98,34.33,22.93
AP Dole,3,66,114,5,2,11.0,10.36,22.8,13.2
AR Patel,148,3105,3824,131,4,517.3,7.39,29.19,23.7
AS Joseph,22,434,707,22,6,72.2,9.77,32.14,19.73
AS Rajpoot,29,530,844,24,5,88.2,9.55,35.17,22.08
AS Raut,5,30,45,0,0,5.0,9.0,,
AS Roy,9,136,191,6,2,22.4,8.43,31.83,22.67
AU Rashid,3,60,91,2,2,10.0,9.1,45.5,30.0
AUK Pathan,3,39,63,0,0,6.3,9.69,,
Abdul Samad,5,54,113,2,1,9.0,12.56,56.5,27.0
Abdur Razzak,1,12,29,0,0,2.0,14.5,,
Abhishek Sharma,26,270,396,11,2,45.0,8.8,36.0,24.55
Akash Deep,8,164,324,8,3,27.2,11.85,40.5,20.5
Akash Madhwal,13,262,431,22,6,43.4,9.87,19.59,11.91
Akash Singh,7,138,227,5,2,23.0,9.87,45.4,27.6
Aman Hakim Khan,1,6,13,0,0,1.0,13.0,,
Anand Rajan,8,149,206,10,4,24.5,8.3,20.6,14.9
Ankit Sharma,21,367,453,12,2,61.1,7.41,37.75,30.58
Ankit Soni,6,109,145,4,2,18.1,7.98,36.25,27.25
Anureet Singh,22,412,636,21,3,68.4,9.26,30.29,19.62
Arjun Tendulkar,5,73,117,4,2,12.1,9.62,29.25,18.25
Arshad Khan,9,134,282,6,3,22.2,12.63,47.0,22.33
Arshad Khan (2),1,12,25,0,0,2.0,12.5,,
Arshdeep Singh,65,1364,2097,84,5,227.2,9.22,24.96,16.24
Atharva Taide,1,1,4,0,0,0.1,24.0,,
Avesh Khan,62,1335,2010,81,4,222.3,9.03,24.81,16.48
Azhar Mahmood,23,537,707,31,3,89.3,7.9,22.81,17.32
Azmatullah Omarzai,7,126,194,4,2,21.0,9.24,48.5,31.5
B Akhil,13,188,246,7,2,31.2,7.85,35.14,26.86
B Chipli,1,6,20,0,0,1.0,20.0,,
B Geeves,2,48,91,2,1,8.0,11.38,45.5,24.0
B Kumar,176,3910,5051,195,6,651.4,7.75,25.9,20.05
B Laughlin,9,168,284,10,2,28.0,10.14,28.4,16.8
B Lee,38,875,1126,30,3,145.5,7.72,37.53,29.17
B Stanlake,6,144,200,7,2,24.0,8.33,28.57,20.57
BA Bhatt,15,296,408,13,4,49.2,8.27,31.38,22.77
BA Stokes,38,689,1023,31,3,114.5,8.91,33.0,22.23
BAW Mendis,10,244,306,9,2,40.4,7.52,34.0,27.11
BB Sran,24,483,767,20,3,80.3,9.53,38.35,24.15
BCJ Cutting,17,281,430,12,2,46.5,9.18,35.83,23.42
BE Hendricks,7,150,239,11,3,25.0,9.56,21.73,13.64
BJ Hodge,20,234,310,18,5,39.0,7.95,17.22,13.0
BJ Rohrer,1,6,12,0,0,1.0,12.0,,
BMAJ Mendis,2,30,36,1,1,5.0,7.2,36.0,30.0
BW Hilfenhaus,17,372,497,23,3,62.0,8.02,21.61,16.17
Basil Thampi,25,521,862,26,4,86.5,9.93,33.15,20.04
Bipul Sharma,28,426,581,22,2,71.0,8.18,26.41,19.36
C Ganapathy,1,6,13,0,0,1.0,13.0,,
C Green,29,439,675,20,2,73.1,9.23,33.75,21.95
C Munro,2,12,15,0,0,2.0,7.5,,
C Nanda,3,48,58,2,1,8.0,7.25,29.0,24.0
C Sakariya,19,426,610,20,3,71.0,8.59,30.5,21.3
C de Grandhomme,19,216,323,7,3,36.0,8.97,46.14,30.86
CH Gayle,38,554,755,19,3,92.2,8.18,39.74,29.16
CH Morris,81,1726,2377,107,5,287.4,8.26,22.21,16.13
CJ Anderson,22,297,525,14,3,49.3,10.61,37.5,21.21
CJ Dala,1,18,34,0,0,3.0,11.33,,
CJ Green,1,17,24,0,0,2.5,8.47,,
CJ Jordan,34,674,1111,36,4,112.2,9.89,30.86,18.72
CJ McKay,2,42,60,1,1,7.0,8.57,60.0,42.0
CK Kapugedera,3,17,49,0,0,2.5,17.29,,
CK Langeveldt,7,156,199,13,3,26.0,7.65,15.31,12.0
CL White,6,42,86,1,1,7.0,12.29,86.0,42.0
CR Brathwaite,16,254,384,16,3,42.2,9.07,24.0,15.88
CR Woakes,21,440,674,31,3,73.2,9.19,21.74,14.19
CRD Fernando,10,234,306,19,5,39.0,7.85,16.11,12.32
CV Varun,70,1590,2042,85,5,265.0,7.71,24.02,18.71
D Brevis,1,3,8,1,1,0.3,16.0,8.0,3.0
D Jansen,1,24,53,1,1,4.0,13.25,53.0,24.0
D Kalyankrishna,3,48,88,2,1,8.0,11.0,44.0,24.0
D Pretorius,7,150,242,7,2,25.0,9.68,34.57,21.43
D Salunkhe,5,47,80,1,1,7.5,10.21,80.0,47.0
D Wiese,15,296,447,17,4,49.2,9.06,26.29,17.41
D du Preez,2,42,56,4,3,7.0,8.0,14.0,10.5
DA Warner,1,1,2,0,0,0.1,12.0,,
DAJ Bracewell,1,24,32,3,3,4.0,8.0,10.67,8.0
DB Ravi Teja,2,18,28,1,1,3.0,9.33,28.0,18.0
DE Bollinger,27,576,716,43,4,96.0,7.46,16.65,13.4
DG Nalkande,6,84,150,6,2,14.0,10.71,25.0,14.0
DJ Bravo,158,3120,4436,207,4,520.0,8.53,21.43,15.07
DJ Harris,2,18,26,0,0,3.0,8.67,,
DJ Hooda,33,373,535,10,2,62.1,8.61,53.5,37.3
DJ Hussey,26,317,485,10,2,52.5,9.18,48.5,31.7
DJ Mitchell,4,48,97,1,1,8.0,12.12,97.0,48.0
