match_id,season_year,bowling_team,bowler,legal_balls,runs_given,wickets,wides,noballs,overs,economy
335982,2008,Kolkata Knight Riders,AB Agarkar,24,25,3,4,0,4.0,6.25
335982,2008,Kolkata Knight Riders,AB Dinda,18,9,2,2,0,3.0,3.0
335982,2008,Kolkata Knight Riders,I Sharma,18,13,1,1,0,3.0,4.33
335982,2008,Kolkata Knight Riders,LR Shukla,7,12,1,2,0,1.1,10.29
335982,2008,Kolkata Knight Riders,SC Ganguly,24,23,3,1,0,4.0,5.75
335982,2008,Royal Challengers Bengaluru,AA Noffke,24,41,1,1,0,4.0,10.25
335982,2008,Royal Challengers Bengaluru,CL White,6,24,0,1,0,1.0,24.0
335982,2008,Royal Challengers Bengaluru,JH Kallis,24,52,1,1,0,4.0,13.0
335982,2008,Royal Challengers Bengaluru,P Kumar,24,41,0,1,0,4.0,10.25
335982,2008,Royal Challengers Bengaluru,SB Joshi,18,26,0,0,0,3.0,8.67
335982,2008,Royal Challengers Bengaluru,Z Khan,24,38,1,0,0,4.0,9.5
335983,2008,Chennai Super Kings,JDP Oram,24,37,0,0,0,4.0,9.25
335983,2008,Chennai Super Kings,Joginder Sharma,24,47,1,1,0,4.0,11.75
335983,2008,Chennai Super Kings,M Muralitharan,24,35,1,1,0,4.0,8.75
335983,2008,Chennai Super Kings,MS Gony,24,43,1,2,0,4.0,10.75
335983,2008,Chennai Super Kings,P Amarnath,24,45,1,0,0,4.0,11.25
335983,2008,Punjab Kings,B Lee,24,36,1,0,1,4.0,9.0
335983,2008,Punjab Kings,IK Pathan,24,47,2,0,0,4.0,11.75
335983,2008,Punjab Kings,JR Hopes,24,54,1,0,0,4.0,13.5
335983,2008,Punjab Kings,K Goel,12,25,0,0,0,2.0,12.5
335983,2008,Punjab Kings,PP Chawla,6,19,0,0,0,1.0,19.0
335983,2008,Punjab Kings,S Sreesanth,18,35,0,1,0,3.0,11.67
335983,2008,Punjab Kings,WA Mota,12,24,1,2,0,2.0,12.0
335984,2008,Delhi Capitals,B Geeves,24,41,1,0,0,4.0,10.25
335984,2008,Delhi Capitals,DL Vettori,24,35,1,0,0,4.0,8.75
335984,2008,Delhi Capitals,GD McGrath,24,21,1,1,0,4.0,5.25
335984,2008,Delhi Capitals,MF Maharoof,24,14,2,0,0,4.0,3.5
335984,2008,Delhi Capitals,R Bhatia,24,18,3,1,0,4.0,4.5
335984,2008,Rajasthan Royals,D Salunkhe,6,11,0,1,0,1.0,11.0
335984,2008,Rajasthan Royals,MM Patel,18,25,0,0,0,3.0,8.33
