season_year,dismissal_kind,count
2008,bowled,131
2008,caught,400
2008,caught and bowled,21
2008,hit wicket,2
2008,lbw,37
2008,retired hurt,1
2008,run out,85
2008,stumped,13
2009,bowled,112
2009,caught,415
2009,caught and bowled,18
2009,hit wicket,1
2009,lbw,47
2009,run out,76
2009,stumped,29
2010,bowled,141
2010,caught,395
2010,caught and bowled,17
2010,lbw,41
2010,retired hurt,2
2010,run out,93
2010,stumped,36
2011,bowled,156
2011,caught,472
2011,caught and bowled,29
2011,lbw,54
2011,run out,74
2011,stumped,28
2012,bowled,166
2012,caught,508
2012,caught and bowled,25
2012,hit wicket,2
2012,lbw,42
2012,retired hurt,1
2012,run out,85
2012,stumped,29
2013,bowled,170
2013,caught,539
2013,caught and bowled,34
2013,lbw,70
2013,obstructing the field,1
2013,retired hurt,1
2013,run out,79
2013,stumped,18
2014,bowled,142
2014,caught,391
2014,caught and bowled,12
2014,lbw,36
2014,retired hurt,1
2014,run out,67
2014,stumped,25
2015,bowled,122
2015,caught,434
2015,caught and bowled,17
2015,lbw,31
2015,retired hurt,1
2015,run out,64
2015,stumped,22
2016,bowled,111
2016,caught,400
2016,caught and bowled,14
2016,hit wicket,3
2016,lbw,41
2016,retired hurt,1
2016,run out,74
2016,stumped,22
2017,bowled,131
2017,caught,419
2017,caught and bowled,24
2017,hit wicket,1
2017,lbw,56
2017,retired hurt,1
2017,run out,58
2017,stumped,21
2018,bowled,113
2018,caught,461
2018,caught and bowled,27
2018,lbw,39
2018,retired hurt,2
2018,run out,58
2018,stumped,22
2019,bowled,88
2019,caught,464
2019,caught and bowled,23
2019,hit wicket,1
2019,lbw,47
2019,obstructing the field,1
2019,run out,42
2019,stumped,19
2021,bowled,238
2021,caught,914
2021,caught and bowled,37
2021,hit wicket,3
2021,lbw,87
2021,retired hurt,1
2021,run out,91
2021,stumped,23
2022,bowled,123
2022,caught,625
2022,caught and bowled,25
2022,hit wicket,1
2022,lbw,57
2022,retired hurt,1
2022,retired out,1
2022,run out,61
2022,stumped,18
2023,bowled,145
2023,caught,600
2023,caught and bowled,26
2023,hit wicket,1
2023,lbw,65
2023,retired hurt,2
2023,retired out,2
2023,run out,55
2023,stumped,20
2024,bowled,123
2024,caught,626
2024,caught and bowled,18
2024,lbw,50
2024,obstructing the field,1
2024,run out,52
2024,stumped,13
