season_year,over,total_runs,total_balls,total_wickets,run_rate
2008,0,703,696,19,6.06
2008,1,923,696,26,7.96
2008,2,826,696,38,7.12
2008,3,912,696,31,7.86
2008,4,1017,696,30,8.77
2008,5,977,693,33,8.46
2008,6,828,690,27,7.2
2008,7,852,689,21,7.42
2008,8,844,678,32,7.47
2008,9,856,678,20,7.58
2008,10,934,679,26,8.25
2008,11,957,672,29,8.54
2008,12,878,666,31,7.91
2008,13,956,659,38,8.7
2008,14,968,648,40,8.96
2008,15,903,621,35,8.72
2008,16,940,576,32,9.79
2008,17,930,558,59,10.0
2008,18,913,521,61,10.51
2008,19,820,442,62,11.13
2009,0,667,694,39,5.77
2009,1,768,684,33,6.74
2009,2,821,684,26,7.2
2009,3,881,684,26,7.73
2009,4,927,683,31,8.14
2009,5,902,678,33,7.98
2009,6,640,678,30,5.66
2009,7,752,678,17,6.65
2009,8,778,678,27,6.88
2009,9,685,674,33,6.1
2009,10,729,673,30,6.5
2009,11,819,672,26,7.31
2009,12,802,666,27,7.23
2009,13,822,661,30,7.46
2009,14,871,658,36,7.94
2009,15,865,635,44,8.17
2009,16,955,626,43,9.15
2009,17,982,614,47,9.6
2009,18,867,578,44,9.0
2009,19,820,497,76,9.9
2010,0,785,729,25,6.46
2010,1,979,720,25,8.16
2010,2,951,720,36,7.92
2010,3,1016,720,33,8.47
2010,4,1024,720,35,8.53
2010,5,946,720,26,7.88
2010,6,873,720,29,7.28
2010,7,845,720,22,7.04
2010,8,899,720,28,7.49
2010,9,895,720,31,7.46
2010,10,890,718,43,7.44
2010,11,885,714,36,7.44
2010,12,963,714,28,8.09
2010,13,967,710,37,8.17
2010,14,898,702,33,7.68
2010,15,965,692,37,8.37
2010,16,1071,676,44,9.51
2010,17,1033,655,50,9.46
2010,18,1043,623,50,10.04
2010,19,955,525,77,10.91
2011,0,922,870,24,6.36
2011,1,978,870,35,6.74
2011,2,1132,870,33,7.81
2011,3,1047,870,44,7.22
2011,4,1048,870,35,7.23
2011,5,1137,869,39,7.85
2011,6,875,870,24,6.03
2011,7,1104,866,30,7.65
2011,8,1080,864,34,7.5
2011,9,1016,863,30,7.06
2011,10,1053,853,43,7.41
2011,11,1089,852,26,7.67
2011,12,1082,848,39,7.66
2011,13,1021,818,33,7.49
2011,14,1157,805,48,8.62
2011,15,1120,788,48,8.53
2011,16,1070,780,46,8.23
2011,17,1107,733,56,9.06
2011,18,1118,680,67,9.86
2011,19,998,586,79,10.22
2012,0,809,888,26,5.47
2012,1,952,888,40,6.43
2012,2,1045,888,33,7.06
2012,3,1195,888,31,8.07
2012,4,1144,888,25,7.73
2012,5,1267,888,41,8.56
2012,6,958,888,27,6.47
2012,7,1068,888,28,7.22
2012,8,1020,888,40,6.89
2012,9,1033,888,26,6.98
2012,10,1141,888,35,7.71
2012,11,1145,883,48,7.78
2012,12,1102,876,37,7.55
2012,13,1137,872,38,7.82
2012,14,1183,869,44,8.17
2012,15,1219,856,46,8.54
2012,16,1252,832,60,9.03
2012,17,1306,803,72,9.76
2012,18,1300,765,71,10.2
2012,19,1177,684,90,10.32
2013,0,846,936,34,5.42
2013,1,997,912,37,6.56
2013,2,1095,912,44,7.2
2013,3,1068,912,32,7.03
2013,4,1184,912,40,7.79
2013,5,1193,912,30,7.85
2013,6,979,912,33,6.44
2013,7,1031,912,55,6.78
2013,8,1060,900,29,7.07
2013,9,1016,900,34,6.77
2013,10,1123,900,37,7.49
2013,11,1068,900,35,7.12
2013,12,1131,896,42,7.57
2013,13,1181,893,41,7.94
2013,14,1184,888,34,8.0
2013,15,1243,884,57,8.44
2013,16,1373,882,59,9.34
2013,17,1340,845,78,9.51
2013,18,1253,770,68,9.76
2013,19,1237,659,93,11.26
2014,0,796,732,20,6.52
2014,1,762,720,26,6.35
2014,2,921,720,37,7.68
2014,3,1002,720,23,8.35
2014,4,964,717,29,8.07
2014,5,1002,714,30,8.42
2014,6,832,714,32,6.99
2014,7,821,714,22,6.9
2014,8,830,714,27,6.97
2014,9,861,714,28,7.24
2014,10,999,714,22,8.39
2014,11,990,714,29,8.32
