season_year,toss_decision,matches,toss_wins_match,toss_win_match_pct
2008,bat,26,9,34.62
2008,field,32,19,59.38
2009,bat,35,19,54.29
2009,field,22,14,63.64
2010,bat,39,21,53.85
2010,field,21,10,47.62
2011,bat,25,11,44.0
2011,field,48,27,56.25
2012,bat,37,15,40.54
2012,field,37,18,48.65
2013,bat,45,21,46.67
2013,field,31,15,48.39
2014,bat,19,6,31.58
2014,field,41,24,58.54
2015,bat,25,14,56.0
2015,field,34,14,41.18
2016,bat,11,2,18.18
2016,field,49,32,65.31
2017,bat,11,6,54.55
2017,field,48,28,58.33
2018,bat,10,5,50.0
2018,field,50,27,54.0
2019,bat,10,5,50.0
2019,field,50,31,62.0
2021,bat,43,18,41.86
2021,field,77,42,54.55
2022,bat,15,7,46.67
2022,field,59,29,49.15
2023,bat,21,11,52.38
2023,field,53,23,43.4
2024,bat,19,7,36.84
2024,field,52,24,46.15
